login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
emmabostian,7671983,MDQ6VXNlcjc2NzE5ODM=,https://avatars.githubusercontent.com/u/7671983?v=4,,https://api.github.com/users/emmabostian,https://github.com/emmabostian,https://api.github.com/users/emmabostian/followers,https://api.github.com/users/emmabostian/following{/other_user},https://api.github.com/users/emmabostian/gists{/gist_id},https://api.github.com/users/emmabostian/starred{/owner}{/repo},https://api.github.com/users/emmabostian/subscriptions,https://api.github.com/users/emmabostian/orgs,https://api.github.com/users/emmabostian/repos,https://api.github.com/users/emmabostian/events{/privacy},https://api.github.com/users/emmabostian/received_events,User,public,False,1.0
emilk,1148717,MDQ6VXNlcjExNDg3MTc=,https://avatars.githubusercontent.com/u/1148717?v=4,,https://api.github.com/users/emilk,https://github.com/emilk,https://api.github.com/users/emilk/followers,https://api.github.com/users/emilk/following{/other_user},https://api.github.com/users/emilk/gists{/gist_id},https://api.github.com/users/emilk/starred{/owner}{/repo},https://api.github.com/users/emilk/subscriptions,https://api.github.com/users/emilk/orgs,https://api.github.com/users/emilk/repos,https://api.github.com/users/emilk/events{/privacy},https://api.github.com/users/emilk/received_events,User,public,False,1.0
mpj,17815,MDQ6VXNlcjE3ODE1,https://avatars.githubusercontent.com/u/17815?v=4,,https://api.github.com/users/mpj,https://github.com/mpj,https://api.github.com/users/mpj/followers,https://api.github.com/users/mpj/following{/other_user},https://api.github.com/users/mpj/gists{/gist_id},https://api.github.com/users/mpj/starred{/owner}{/repo},https://api.github.com/users/mpj/subscriptions,https://api.github.com/users/mpj/orgs,https://api.github.com/users/mpj/repos,https://api.github.com/users/mpj/events{/privacy},https://api.github.com/users/mpj/received_events,User,public,False,1.0
hrydgard,130929,MDQ6VXNlcjEzMDkyOQ==,https://avatars.githubusercontent.com/u/130929?v=4,,https://api.github.com/users/hrydgard,https://github.com/hrydgard,https://api.github.com/users/hrydgard/followers,https://api.github.com/users/hrydgard/following{/other_user},https://api.github.com/users/hrydgard/gists{/gist_id},https://api.github.com/users/hrydgard/starred{/owner}{/repo},https://api.github.com/users/hrydgard/subscriptions,https://api.github.com/users/hrydgard/orgs,https://api.github.com/users/hrydgard/repos,https://api.github.com/users/hrydgard/events{/privacy},https://api.github.com/users/hrydgard/received_events,User,public,False,1.0
eriklindernoren,7977505,MDQ6VXNlcjc5Nzc1MDU=,https://avatars.githubusercontent.com/u/7977505?v=4,,https://api.github.com/users/eriklindernoren,https://github.com/eriklindernoren,https://api.github.com/users/eriklindernoren/followers,https://api.github.com/users/eriklindernoren/following{/other_user},https://api.github.com/users/eriklindernoren/gists{/gist_id},https://api.github.com/users/eriklindernoren/starred{/owner}{/repo},https://api.github.com/users/eriklindernoren/subscriptions,https://api.github.com/users/eriklindernoren/orgs,https://api.github.com/users/eriklindernoren/repos,https://api.github.com/users/eriklindernoren/events{/privacy},https://api.github.com/users/eriklindernoren/received_events,User,public,False,1.0
spotify,251374,MDEyOk9yZ2FuaXphdGlvbjI1MTM3NA==,https://avatars.githubusercontent.com/u/251374?v=4,,https://api.github.com/users/spotify,https://github.com/spotify,https://api.github.com/users/spotify/followers,https://api.github.com/users/spotify/following{/other_user},https://api.github.com/users/spotify/gists{/gist_id},https://api.github.com/users/spotify/starred{/owner}{/repo},https://api.github.com/users/spotify/subscriptions,https://api.github.com/users/spotify/orgs,https://api.github.com/users/spotify/repos,https://api.github.com/users/spotify/events{/privacy},https://api.github.com/users/spotify/received_events,Organization,public,False,1.0
arvidn,661450,MDQ6VXNlcjY2MTQ1MA==,https://avatars.githubusercontent.com/u/661450?v=4,,https://api.github.com/users/arvidn,https://github.com/arvidn,https://api.github.com/users/arvidn/followers,https://api.github.com/users/arvidn/following{/other_user},https://api.github.com/users/arvidn/gists{/gist_id},https://api.github.com/users/arvidn/starred{/owner}{/repo},https://api.github.com/users/arvidn/subscriptions,https://api.github.com/users/arvidn/orgs,https://api.github.com/users/arvidn/repos,https://api.github.com/users/arvidn/events{/privacy},https://api.github.com/users/arvidn/received_events,User,public,False,1.0
aladdinpersson,23462240,MDQ6VXNlcjIzNDYyMjQw,https://avatars.githubusercontent.com/u/23462240?v=4,,https://api.github.com/users/aladdinpersson,https://github.com/aladdinpersson,https://api.github.com/users/aladdinpersson/followers,https://api.github.com/users/aladdinpersson/following{/other_user},https://api.github.com/users/aladdinpersson/gists{/gist_id},https://api.github.com/users/aladdinpersson/starred{/owner}{/repo},https://api.github.com/users/aladdinpersson/subscriptions,https://api.github.com/users/aladdinpersson/orgs,https://api.github.com/users/aladdinpersson/repos,https://api.github.com/users/aladdinpersson/events{/privacy},https://api.github.com/users/aladdinpersson/received_events,User,public,False,1.0
khaosdoctor,3200560,MDQ6VXNlcjMyMDA1NjA=,https://avatars.githubusercontent.com/u/3200560?v=4,,https://api.github.com/users/khaosdoctor,https://github.com/khaosdoctor,https://api.github.com/users/khaosdoctor/followers,https://api.github.com/users/khaosdoctor/following{/other_user},https://api.github.com/users/khaosdoctor/gists{/gist_id},https://api.github.com/users/khaosdoctor/starred{/owner}{/repo},https://api.github.com/users/khaosdoctor/subscriptions,https://api.github.com/users/khaosdoctor/orgs,https://api.github.com/users/khaosdoctor/repos,https://api.github.com/users/khaosdoctor/events{/privacy},https://api.github.com/users/khaosdoctor/received_events,User,public,False,1.0
Mojang,1162641,MDEyOk9yZ2FuaXphdGlvbjExNjI2NDE=,https://avatars.githubusercontent.com/u/1162641?v=4,,https://api.github.com/users/Mojang,https://github.com/Mojang,https://api.github.com/users/Mojang/followers,https://api.github.com/users/Mojang/following{/other_user},https://api.github.com/users/Mojang/gists{/gist_id},https://api.github.com/users/Mojang/starred{/owner}{/repo},https://api.github.com/users/Mojang/subscriptions,https://api.github.com/users/Mojang/orgs,https://api.github.com/users/Mojang/repos,https://api.github.com/users/Mojang/events{/privacy},https://api.github.com/users/Mojang/received_events,Organization,public,False,1.0
